x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-170.1312,-2369.7494,9.9863,6.6494,-0.1632
-166.6621,-2371.7310,9.9269,6.6490,-0.1633
-163.1629,-2373.6589,9.8649,6.6491,-0.1633
-159.6342,-2375.5327,9.7994,6.6494,-0.1634
-156.0771,-2377.3519,9.7315,6.6496,-0.1634
-152.4924,-2379.1161,9.6615,6.6496,-0.1634
-148.8808,-2380.8249,9.5896,6.6495,-0.1635
-145.2433,-2382.4779,9.5160,6.6493,-0.1635
-141.5807,-2384.0747,9.4410,6.6489,-0.1635
-137.8940,-2385.6149,9.3646,6.6490,-0.1635
-134.1839,-2387.0980,9.2863,6.6494,-0.1635
-130.4516,-2388.5238,9.2070,6.6496,-0.1634
-126.6978,-2389.8919,9.1272,6.6497,-0.1634
-122.9234,-2391.2020,9.0470,6.6496,-0.1633
-119.1293,-2392.4538,8.9666,6.6494,-0.1633
-115.3164,-2393.6469,8.8864,6.6490,-0.1632
-111.4857,-2394.7811,8.8065,6.6491,-0.1631
-107.6380,-2395.8562,8.7264,6.6495,-0.1630
-103.7743,-2396.8718,8.6468,6.6497,-0.1629
-99.8953,-2397.8278,8.5683,6.6497,-0.1627
-96.0020,-2398.7234,8.4915,6.6492,-0.1626
-92.0953,-2399.5578,8.4173,6.6473,-0.1624
-88.1761,-2400.3297,8.3470,6.6431,-0.1622
-84.2451,-2401.0378,8.2819,6.6362,-0.1620
-80.3033,-2401.6809,8.2225,6.6250,-0.1618
-76.3517,-2402.2583,8.1702,6.6088,-0.1615
-72.3911,-2402.7691,8.1260,6.5868,-0.1613
-68.4225,-2403.2130,8.0866,6.5623,-0.1607
-64.4469,-2403.5903,8.0288,6.5591,-0.1602
-60.4652,-2403.9020,7.9464,6.5842,-0.1588
-56.4785,-2404.1507,7.8492,6.6271,-0.1567
-52.4877,-2404.3399,7.7478,6.6768,-0.1548
-48.4939,-2404.4738,7.6514,6.7249,-0.1516
-44.4976,-2404.5569,7.5631,6.7684,-0.1480
-40.4997,-2404.5943,7.4839,6.8064,-0.1441
