x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
250.8830,652.5954,7.6621,7.6608,-0.1571
250.7104,652.4107,7.6637,7.6623,-0.1571
250.5379,652.2259,7.6653,7.6638,-0.1571
250.3653,652.0411,7.6669,7.6654,-0.1571
250.1928,651.8563,7.6685,7.6669,-0.1571
250.0203,651.6714,7.6702,7.6685,-0.1571
249.8478,651.4864,7.6718,7.6701,-0.1571
249.6754,651.3014,7.6734,7.6717,-0.1571
249.5030,651.1163,7.6750,7.6732,-0.1571
249.3307,650.9311,7.6766,7.6748,-0.1571
249.1584,650.7458,7.6782,7.6763,-0.1571
248.9862,650.5605,7.6798,7.6777,-0.1571
248.8141,650.3752,7.6813,7.6791,-0.1571
248.6421,650.1898,7.6828,7.6805,-0.1571
248.4702,650.0044,7.6843,7.6819,-0.1571
248.2985,649.8189,7.6859,7.6833,-0.1571
248.1269,649.6334,7.6874,7.6848,-0.1571
247.9554,649.4478,7.6890,7.6862,-0.1571
247.7841,649.2622,7.6905,7.6877,-0.1571
247.6128,649.0765,7.6921,7.6891,-0.1571
247.4417,648.8906,7.6936,7.6907,-0.1571
247.2707,648.7047,7.6952,7.6921,-0.1571
247.0998,648.5187,7.6967,7.6937,-0.1571
246.9290,648.3325,7.6983,7.6951,-0.1571
246.7583,648.1462,7.6998,7.6967,-0.1571
246.5877,647.9597,7.7014,7.6982,-0.1571
246.4171,647.7731,7.7029,7.6997,-0.1571
246.2467,647.5863,7.7045,7.7011,-0.1571
246.0764,647.3994,7.7059,7.7026,-0.1571
245.9063,647.2124,7.7075,7.7040,-0.1571
245.7363,647.0252,7.7089,7.7054,-0.1571
245.5664,646.8380,7.7105,7.7067,-0.1571
245.3967,646.6506,7.7118,7.7081,-0.1571
245.2272,646.4630,7.7133,7.7093,-0.1571
245.0578,646.2754,7.7145,7.7105,-0.1571
244.8885,646.0875,7.7157,7.7116,-0.1571
244.7194,645.8995,7.7168,7.7128,-0.1571
244.5503,645.7113,7.7178,7.7137,-0.1571
244.3814,645.5230,7.7186,7.7146,-0.1571
244.2126,645.3344,7.7195,7.7154,-0.1571
244.0439,645.1456,7.7201,7.7160,-0.1571
243.8752,644.9567,7.7206,7.7165,-0.1571
243.7067,644.7676,7.7209,7.7168,-0.1571
243.5383,644.5783,7.7212,7.7170,-0.1571
243.3700,644.3889,7.7212,7.7170,-0.1571
243.2019,644.1994,7.7211,7.7169,-0.1571
243.0340,644.0097,7.7208,7.7167,-0.1571
242.8662,643.8199,7.7204,7.7163,-0.1571
242.6986,643.6301,7.7198,7.7158,-0.1571
242.5312,643.4401,7.7191,7.7152,-0.1571
242.3640,643.2500,7.7183,7.7144,-0.1571
242.1969,643.0598,7.7172,7.7134,-0.1571
242.0301,642.8695,7.7161,7.7123,-0.1571
241.8635,642.6791,7.7148,7.7111,-0.1571
241.6971,642.4886,7.7135,7.7097,-0.1571
241.5309,642.2980,7.7120,7.7081,-0.1571
241.3649,642.1072,7.7105,7.7065,-0.1571
241.1991,641.9163,7.7087,7.7047,-0.1571
241.0335,641.7253,7.7071,7.7029,-0.1571
240.8681,641.5342,7.7051,7.7010,-0.1571
240.7030,641.3430,7.7033,7.6990,-0.1571
240.5381,641.1517,7.7011,7.6970,-0.1571
240.3734,640.9603,7.6992,7.6949,-0.1571
240.2088,640.7688,7.6969,7.6927,-0.1571
240.0445,640.5772,7.6948,7.6905,-0.1571
239.8804,640.3854,7.6924,7.6883,-0.1571
239.7164,640.1936,7.6901,7.6860,-0.1571
239.5526,640.0016,7.6876,7.6837,-0.1571
239.3889,639.8095,7.6853,7.6815,-0.1571
239.2254,639.6172,7.6828,7.6792,-0.1571
239.0619,639.4248,7.6805,7.6769,-0.1571
238.8985,639.2322,7.6781,7.6746,-0.1571
238.7352,639.0395,7.6758,7.6724,-0.1571
238.5720,638.8466,7.6735,7.6702,-0.1571
238.4088,638.6536,7.6712,7.6680,-0.1571
238.2457,638.4604,7.6690,7.6659,-0.1571
238.0826,638.2671,7.6668,7.6639,-0.1571
237.9196,638.0737,7.6647,7.6619,-0.1571
237.7567,637.8803,7.6626,7.6599,-0.1571
237.5939,637.6867,7.6606,7.6581,-0.1571
237.4311,637.4932,7.6586,7.6563,-0.1571
237.2685,637.2995,7.6568,7.6547,-0.1571
237.1058,637.1059,7.6550,7.6531,-0.1571
236.9433,636.9122,7.6533,7.6517,-0.1571
236.7808,636.7185,7.6517,7.6503,-0.1571
236.6183,636.5248,7.6502,7.6491,-0.1571
236.4559,636.3311,7.6489,7.6479,-0.1571
236.2935,636.1373,7.6477,7.6469,-0.1571
236.1312,635.9435,7.6466,7.6459,-0.1571
235.9689,635.7496,7.6458,7.6450,-0.1571
235.8066,635.5557,7.6451,7.6442,-0.1571
235.6443,635.3618,7.6444,7.6434,-0.1571
235.4820,635.1678,7.6438,7.6427,-0.1571
235.3198,634.9738,7.6433,7.6421,-0.1571
235.1577,634.7797,7.6427,7.6414,-0.1571
234.9955,634.5856,7.6423,7.6409,-0.1571
234.8335,634.3915,7.6418,7.6405,-0.1571
234.6715,634.1973,7.6414,7.6401,-0.1571
234.5095,634.0031,7.6410,7.6398,-0.1571
234.3476,633.8089,7.6407,7.6397,-0.1571
234.1858,633.6146,7.6406,7.6396,-0.1571
234.0240,633.4203,7.6406,7.6396,-0.1571
233.8622,633.2259,7.6406,7.6397,-0.1571
233.7005,633.0315,7.6408,7.6398,-0.1571
233.5388,632.8370,7.6411,7.6401,-0.1571
233.3771,632.6424,7.6415,7.6404,-0.1571
233.2155,632.4478,7.6419,7.6408,-0.1571
233.0538,632.2530,7.6424,7.6413,-0.1571
232.8922,632.0582,7.6431,7.6419,-0.1571
232.7305,631.8633,7.6437,7.6425,-0.1571
232.5689,631.6683,7.6445,7.6432,-0.1571
232.4073,631.4733,7.6453,7.6439,-0.1571
232.2458,631.2782,7.6462,7.6447,-0.1571
232.0843,631.0830,7.6472,7.6456,-0.1571
231.9229,630.8879,7.6481,7.6465,-0.1571
231.7616,630.6928,7.6492,7.6474,-0.1571
231.6004,630.4976,7.6502,7.6484,-0.1571
231.4393,630.3025,7.6512,7.6494,-0.1571
231.2782,630.1073,7.6522,7.6504,-0.1571
231.1173,629.9122,7.6532,7.6514,-0.1571
230.9564,629.7171,7.6542,7.6525,-0.1571
230.7957,629.5220,7.6551,7.6535,-0.1571
230.6350,629.3269,7.6560,7.6546,-0.1571
230.4744,629.1318,7.6569,7.6556,-0.1571
230.3139,628.9367,7.6576,7.6567,-0.1571
230.1534,628.7415,7.6584,7.6577,-0.1571
229.9929,628.5463,7.6590,7.6587,-0.1571
229.8325,628.3511,7.6596,7.6596,-0.1571
229.6721,628.1557,7.6601,7.6602,-0.1571
229.5117,627.9604,7.6605,7.6608,-0.1571
229.3513,627.7649,7.6608,7.6611,-0.1571
229.1909,627.5695,7.6612,7.6613,-0.1571
229.0305,627.3739,7.6613,7.6614,-0.1571
228.8702,627.1784,7.6614,7.6613,-0.1571
228.7099,626.9828,7.6614,7.6611,-0.1571
228.5497,626.7872,7.6614,7.6607,-0.1571
228.3895,626.5916,7.6611,7.6602,-0.1571
228.2294,626.3959,7.6610,7.6596,-0.1571
228.0694,626.2003,7.6605,7.6589,-0.1571
227.9095,626.0046,7.6602,7.6581,-0.1571
227.7496,625.8088,7.6596,7.6573,-0.1571
227.5898,625.6129,7.6590,7.6564,-0.1571
227.4301,625.4170,7.6583,7.6555,-0.1571
227.2704,625.2210,7.6576,7.6547,-0.1571
227.1109,625.0249,7.6568,7.6537,-0.1571
226.9514,624.8287,7.6560,7.6528,-0.1571
226.7920,624.6324,7.6550,7.6518,-0.1571
226.6327,624.4360,7.6542,7.6508,-0.1571
226.4735,624.2394,7.6532,7.6498,-0.1571
226.3144,624.0428,7.6523,7.6488,-0.1571
226.1554,623.8460,7.6512,7.6478,-0.1571
225.9966,623.6491,7.6503,7.6468,-0.1571
225.8378,623.4521,7.6493,7.6457,-0.1571
225.6792,623.2549,7.6483,7.6448,-0.1571
225.5207,623.0577,7.6473,7.6437,-0.1571
225.3624,622.8603,7.6463,7.6428,-0.1571
225.2042,622.6628,7.6453,7.6417,-0.1571
225.0461,622.4652,7.6443,7.6408,-0.1571
224.8881,622.2675,7.6433,7.6399,-0.1571
224.7303,622.0696,7.6423,7.6390,-0.1571
224.5727,621.8717,7.6414,7.6381,-0.1571
224.4152,621.6737,7.6404,7.6374,-0.1571
224.2578,621.4756,7.6395,7.6365,-0.1571
224.1006,621.2774,7.6386,7.6358,-0.1571
223.9436,621.0791,7.6378,7.6350,-0.1571
223.7867,620.8808,7.6369,7.6343,-0.1571
223.6299,620.6824,7.6361,7.6337,-0.1571
223.4733,620.4839,7.6354,7.6331,-0.1571
223.3169,620.2854,7.6349,7.6325,-0.1571
223.1606,620.0868,7.6344,7.6321,-0.1571
223.0045,619.8881,7.6341,7.6317,-0.1571
222.8485,619.6893,7.6338,7.6313,-0.1571
222.6927,619.4905,7.6336,7.6311,-0.1571
222.5369,619.2915,7.6334,7.6309,-0.1571
222.3813,619.0924,7.6334,7.6308,-0.1571
222.2259,618.8932,7.6334,7.6307,-0.1571
222.0705,618.6938,7.6335,7.6308,-0.1571
221.9152,618.4943,7.6336,7.6308,-0.1571
221.7601,618.2946,7.6339,7.6310,-0.1571
221.6051,618.0948,7.6342,7.6312,-0.1571
221.4502,617.8948,7.6346,7.6316,-0.1571
221.2954,617.6946,7.6350,7.6319,-0.1571
221.1407,617.4943,7.6355,7.6324,-0.1571
220.9861,617.2939,7.6361,7.6328,-0.1571
220.8317,617.0932,7.6367,7.6335,-0.1571
220.6774,616.8925,7.6374,7.6340,-0.1571
220.5232,616.6916,7.6382,7.6348,-0.1571
220.3691,616.4906,7.6390,7.6355,-0.1571
220.2152,616.2894,7.6399,7.6364,-0.1571
220.0615,616.0882,7.6409,7.6372,-0.1571
219.9078,615.8868,7.6419,7.6383,-0.1571
219.7544,615.6854,7.6430,7.6393,-0.1571
219.6010,615.4838,7.6442,7.6406,-0.1571
219.4479,615.2822,7.6454,7.6417,-0.1571
219.2949,615.0805,7.6467,7.6431,-0.1571
219.1421,614.8788,7.6480,7.6444,-0.1571
218.9894,614.6770,7.6495,7.6460,-0.1571
218.8368,614.4751,7.6510,7.6475,-0.1571
218.6845,614.2732,7.6526,7.6492,-0.1571
218.5323,614.0713,7.6544,7.6508,-0.1571
218.3803,613.8694,7.6561,7.6526,-0.1571
218.2284,613.6674,7.6579,7.6543,-0.1571
218.0767,613.4654,7.6597,7.6562,-0.1571
217.9252,613.2634,7.6616,7.6580,-0.1571
217.7739,613.0614,7.6634,7.6598,-0.1571
217.6228,612.8594,7.6653,7.6616,-0.1571
217.4718,612.6574,7.6671,7.6635,-0.1571
217.3210,612.4553,7.6689,7.6654,-0.1571
217.1703,612.2532,7.6706,7.6672,-0.1571
217.0197,612.0510,7.6724,7.6691,-0.1571
216.8693,611.8488,7.6741,7.6709,-0.1571
216.7189,611.6464,7.6758,7.6727,-0.1571
216.5686,611.4438,7.6774,7.6744,-0.1571
216.4184,611.2411,7.6790,7.6761,-0.1571
216.2682,611.0383,7.6804,7.6778,-0.1571
216.1181,610.8353,7.6820,7.6794,-0.1571
215.9680,610.6321,7.6832,7.6810,-0.1571
215.8180,610.4287,7.6846,7.6825,-0.1571
215.6680,610.2252,7.6858,7.6839,-0.1571
215.5180,610.0216,7.6870,7.6852,-0.1571
215.3681,609.8178,7.6880,7.6864,-0.1571
215.2184,609.6140,7.6891,7.6875,-0.1571
215.0687,609.4100,7.6899,7.6884,-0.1571
214.9191,609.2060,7.6908,7.6892,-0.1571
214.7696,609.0019,7.6914,7.6899,-0.1571
214.6202,608.7978,7.6922,7.6904,-0.1571
214.4709,608.5936,7.6927,7.6907,-0.1571
214.3218,608.3893,7.6933,7.6910,-0.1571
214.1728,608.1851,7.6936,7.6912,-0.1571
214.0240,607.9808,7.6941,7.6914,-0.1571
213.8753,607.7764,7.6943,7.6915,-0.1571
213.7267,607.5721,7.6945,7.6917,-0.1571
213.5783,607.3677,7.6945,7.6917,-0.1571
213.4300,607.1633,7.6945,7.6917,-0.1571
213.2819,606.9589,7.6944,7.6916,-0.1571
213.1339,606.7544,7.6942,7.6914,-0.1571
212.9860,606.5500,7.6938,7.6910,-0.1571
212.8383,606.3455,7.6934,7.6906,-0.1571
212.6907,606.1410,7.6929,7.6901,-0.1571
212.5432,605.9365,7.6923,7.6895,-0.1571
212.3958,605.7319,7.6916,7.6888,-0.1571
212.2486,605.5273,7.6909,7.6881,-0.1571
212.1015,605.3226,7.6900,7.6873,-0.1571
211.9545,605.1178,7.6891,7.6865,-0.1571
211.8075,604.9130,7.6881,7.6855,-0.1571
211.6607,604.7081,7.6871,7.6846,-0.1571
211.5140,604.5031,7.6859,7.6835,-0.1571
211.3673,604.2980,7.6848,7.6825,-0.1571
211.2208,604.0928,7.6836,7.6814,-0.1571
211.0743,603.8876,7.6823,7.6803,-0.1571
210.9280,603.6823,7.6810,7.6791,-0.1571
210.7817,603.4769,7.6797,7.6779,-0.1571
210.6356,603.2716,7.6783,7.6768,-0.1571
210.4895,603.0662,7.6770,7.6756,-0.1571
210.3436,602.8608,7.6757,7.6744,-0.1571
210.1978,602.6555,7.6745,7.6733,-0.1571
210.0521,602.4501,7.6733,7.6721,-0.1571
209.9065,602.2447,7.6722,7.6710,-0.1571
209.7610,602.0393,7.6711,7.6699,-0.1571
209.6156,601.8339,7.6701,7.6688,-0.1571
209.4703,601.6285,7.6691,7.6678,-0.1571
209.3250,601.4229,7.6682,7.6667,-0.1571
209.1797,601.2173,7.6673,7.6658,-0.1571
209.0345,601.0116,7.6665,7.6648,-0.1571
208.8894,600.8058,7.6658,7.6640,-0.1571
208.7443,600.5999,7.6651,7.6632,-0.1571
208.5992,600.3939,7.6645,7.6624,-0.1571
208.4542,600.1878,7.6639,7.6617,-0.1571
208.3093,599.9816,7.6633,7.6611,-0.1571
